date,country,energy
2022-03,IT,111.8
2022-04,IT,113.2
2022-05,IT,114.7
2022-06,IT,116.0
2022-07,IT,116.2
2022-08,IT,117.3
2022-09,IT,118.6
2022-10,IT,120.9
2022-11,IT,122.1
2022-12,IT,122.5
2023-01,IT,123.6
2023-02,IT,125.6
2023-03,IT,126.7
2023-04,IT,127.1
2023-05,IT,128.4
2023-06,IT,128.8
2023-07,IT,128.9
2023-08,IT,129.2
2023-09,IT,129.2
2023-10,IT,129.1
2023-11,IT,129.5
2023-12,IT,129.8
2018-01,DE,106.71
2018-02,DE,106.6
2018-03,DE,106.82
2018-04,DE,106.86
2018-05,DE,107.03
2018-06,DE,106.63
2018-07,DE,106.15
2018-08,DE,105.86
2018-09,DE,106.88
2018-10,DE,106.72
2018-11,DE,106.52
2018-12,DE,106.94
2019-01,DE,107.48
2019-02,DE,108.05
2019-03,DE,107.5
2019-04,DE,107.56
2019-05,DE,107.98
2019-06,DE,108.09
2019-07,DE,108.5
2019-08,DE,108.71
2019-09,DE,108.52
2019-10,DE,108.07
2019-11,DE,108.6
2019-12,DE,109.22
2020-01,DE,110.26
2020-02,DE,111.79
2020-03,DE,111.6
2020-04,DE,112.89
2020-05,DE,112.92
2020-06,DE,112.82
2020-07,DE,109.75
2020-08,DE,109.47
2020-09,DE,109.25
2020-10,DE,109.67
2020-11,DE,110.15
2020-12,DE,109.74
2021-01,DE,112.58
2021-02,DE,113.45
2021-03,DE,113.4
2021-04,DE,114.8
2021-05,DE,114.44
2021-06,DE,114.09
2021-07,DE,114.48
2021-08,DE,114.47
2021-09,DE,114.51
2021-10,DE,114.49
2021-11,DE,115.06
2021-12,DE,116.31
2022-01,DE,118.13
2022-02,DE,119.37
2022-03,DE,120.4
2022-04,DE,124.53
2022-05,DE,127.02
2022-06,DE,128.36
2022-07,DE,131.16
2022-08,DE,133.18
2022-09,DE,135.53
2022-10,DE,137.28
2022-11,DE,139.05
2022-12,DE,140.15
2023-01,DE,142.39
2023-02,DE,145.94
2023-03,DE,147.91
2023-04,DE,146.87
2023-05,DE,146.64
2023-06,DE,146.54
2023-07,DE,146.16
2023-08,DE,145.78
2023-09,DE,146.27
2023-10,DE,146.27
2023-11,DE,147.07
2023-12,DE,147.32
2018-01,ES,103.67
2018-02,ES,103.47
2018-03,ES,103.56
2018-04,ES,103.73
2018-05,ES,104.45
2018-06,ES,104.97
2018-07,ES,104.18
2018-08,ES,104.2
2018-09,ES,104.22
2018-10,ES,105.56
2018-11,ES,104.96
2018-12,ES,104.76
2019-01,ES,104.65
2019-02,ES,104.91
2019-03,ES,104.5
2019-04,ES,104.48
2019-05,ES,104.95
2019-06,ES,105.38
2019-07,ES,105.08
2019-08,ES,105.23
2019-09,ES,105.11
2019-10,ES,106.79
2019-11,ES,106.71
2019-12,ES,106.56
2020-01,ES,106.84
2020-02,ES,107.01
2020-03,ES,107.14
2020-04,ES,108.75
2020-05,ES,108.71
2020-06,ES,108.39
2020-07,ES,107.45
2020-08,ES,107.55
2020-09,ES,107.67
2020-10,ES,109.24
2020-11,ES,108.15
2020-12,ES,107.77
2021-01,ES,108.44
2021-02,ES,108.45
2021-03,ES,108.46
2021-04,ES,108.81
2021-05,ES,109.29
2021-06,ES,109.31
2021-07,ES,109.04
2021-08,ES,109.36
2021-09,ES,109.28
2021-10,ES,110.79
2021-11,ES,111.44
2021-12,ES,112.93
2022-01,ES,113.68
2022-02,ES,114.53
2022-03,ES,115.93
2022-04,ES,120.07
2022-05,ES,121.55
2022-06,ES,123.83
2022-07,ES,124.14
2022-08,ES,124.75
2022-09,ES,125.36
2022-10,ES,128.33
2022-11,ES,128.87
2022-12,ES,130.91
2023-01,ES,131.26
2023-02,ES,133.66
2023-03,ES,135.12
2023-04,ES,135.47
2023-05,ES,136.03
2023-06,ES,136.5
2023-07,ES,137.52
2023-08,ES,137.79
2023-09,ES,138.49
2023-10,ES,140.33
2023-11,ES,140.5
2023-12,ES,140.43
